ID;planta;tipo;subtipo;contacto;espacio_origen;espacio_destino;largo_m;alto_m;largo_x_alto;superficie_m2;orientacion;azimut;fuente_largo;fuente_alto;confianza;requiere_revision;evidencia_largo;evidencia_alto;evidencia_superficie;nivel;ring;segmento_origen;nota
F01;PB;FACHADA;CALLE;EXTERIOR_CALLE;ALMACEN;EXTERIOR;12.00;2.70;12.00 x 2.70;32.40;S;180.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S001;fuera de la parcela | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
M01;PB;MEDIANERA;EDIFICIO_COLINDANTE;OTHER_BUILDING;ALMACEN;EDIFICIO_VECINO;6.00;2.70;6.00 x 2.70;16.20;E;90.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S003_1;coincide con la huella de un edificio colindante | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F02;PB;FACHADA;CALLE;EXTERIOR_CALLE;ALMACEN;EXTERIOR;4.00;2.70;4.00 x 2.70;10.80;E;90.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S003_2;fuera de la parcela | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F03;PB;FACHADA;CALLE;EXTERIOR_CALLE;ALMACEN;EXTERIOR;12.00;2.70;12.00 x 2.70;32.40;N;0.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S004;fuera de la parcela | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
M02;PB;MEDIANERA;EDIFICIO_COLINDANTE;OTHER_BUILDING;ALMACEN;EDIFICIO_VECINO;10.00;2.70;10.00 x 2.70;27.00;O;270.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S006;coincide con la huella de un edificio colindante | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F04;PB;FACHADA;PATIO;PATIO_EDIFICIO;ALMACEN;EXTERIOR;3.00;2.70;3.00 x 2.70;8.10;N;0.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;0;interior;PB-S007;borde de un hueco interior de la huella | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F05;PB;FACHADA;PATIO;PATIO_EDIFICIO;ALMACEN;EXTERIOR;2.00;2.70;2.00 x 2.70;5.40;E;90.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;0;interior;PB-S008;borde de un hueco interior de la huella | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F06;PB;FACHADA;PATIO;PATIO_EDIFICIO;ALMACEN;EXTERIOR;3.00;2.70;3.00 x 2.70;8.10;S;180.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;0;interior;PB-S009;borde de un hueco interior de la huella | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F07;PB;FACHADA;PATIO;PATIO_EDIFICIO;ALMACEN;EXTERIOR;2.00;2.70;2.00 x 2.70;5.40;O;270.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;0;interior;PB-S010;borde de un hueco interior de la huella | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F08;P1;FACHADA;CALLE;EXTERIOR_CALLE;VIVIENDA;EXTERIOR;8.00;2.70;8.00 x 2.70;21.60;S;180.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S001;fuera de la parcela | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
