ID;planta;tipo;subtipo;contacto;espacio_origen;espacio_destino;largo_m;alto_m;largo_x_alto;superficie_m2;orientacion;azimut;fuente_largo;fuente_alto;confianza;requiere_revision;evidencia_largo;evidencia_alto;evidencia_superficie;nivel;ring;segmento_origen;nota
F01;PB;FACHADA;CALLE;EXTERIOR_CALLE;VIVIENDA;EXTERIOR;6.53;2.70;6.53 x 2.70;17.63;E;101.8;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S001;fuera de la parcela | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F02;PB;FACHADA;PATIO;PATIO_PARCELA;VIVIENDA;EXTERIOR;4.36;2.70;4.36 x 2.70;11.77;N;0.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S002;patio: el 79% de su borde lo forman edificios | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F03;PB;FACHADA;PATIO;PATIO_PARCELA;VIVIENDA;EXTERIOR;3.82;2.70;3.82 x 2.70;10.31;E;90.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S003;patio: el 79% de su borde lo forman edificios | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F04;PB;FACHADA;PATIO;PATIO_PARCELA;VIVIENDA;EXTERIOR;5.17;2.70;5.17 x 2.70;13.96;S;179.6;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S005;patio: el 79% de su borde lo forman edificios | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F05;PB;FACHADA;CALLE;EXTERIOR_CALLE;VIVIENDA;EXTERIOR;4.34;2.70;4.34 x 2.70;11.73;E;102.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S006;fuera de la parcela | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
M01;PB;MEDIANERA;EDIFICIO_COLINDANTE;OTHER_BUILDING;VIVIENDA;EDIFICIO_VECINO;9.05;2.70;9.05 x 2.70;24.44;N;1.5;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S007;coincide con la huella de un edificio colindante | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
M02;PB;MEDIANERA;EDIFICIO_COLINDANTE;OTHER_BUILDING;VIVIENDA;EDIFICIO_VECINO;0.84;2.70;0.84 x 2.70;2.26;O;281.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S009;coincide con la huella de un edificio colindante | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
M03;PB;MEDIANERA;EDIFICIO_COLINDANTE;OTHER_BUILDING;VIVIENDA;EDIFICIO_VECINO;7.68;2.70;7.68 x 2.70;20.74;N;1.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S010;coincide con la huella de un edificio colindante | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F06;PB;FACHADA;CALLE;EXTERIOR_CALLE;VIVIENDA;EXTERIOR;3.20;2.70;3.20 x 2.70;8.64;O;271.2;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S012;fuera de la parcela | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F07;PB;FACHADA;PATIO;PATIO_PARCELA;VIVIENDA;EXTERIOR;4.30;2.70;4.30 x 2.70;11.61;S;180.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S013;patio: el 95% de su borde lo forman edificios | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F08;PB;FACHADA;PATIO;PATIO_PARCELA;VIVIENDA;EXTERIOR;2.06;2.70;2.06 x 2.70;5.56;O;270.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S014;patio: el 95% de su borde lo forman edificios | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F09;PB;FACHADA;PATIO;PATIO_PARCELA;VIVIENDA;EXTERIOR;4.35;2.70;4.35 x 2.70;11.74;N;0.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S015;patio: el 95% de su borde lo forman edificios | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F10;PB;FACHADA;CALLE;EXTERIOR_CALLE;VIVIENDA;EXTERIOR;8.34;2.70;8.34 x 2.70;22.52;O;271.1;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S016;fuera de la parcela | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F11;PB;FACHADA;CALLE;EXTERIOR_CALLE;VIVIENDA;EXTERIOR;14.13;2.70;14.13 x 2.70;38.14;S;181.8;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;0;exterior;PB-S017;fuera de la parcela | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F12;P1;FACHADA;PATIO;PATIO_PARCELA;ALMACEN;EXTERIOR;4.30;2.70;4.30 x 2.70;11.61;S;180.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S001;patio: el 95% de su borde lo forman edificios | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
